CRASH_NUMB,CITY_TOWN_NAME,CRASH_DATE,CRASH_TIME,CRASH_HOUR,MANR_COLL_DESCR,AMBNT_LIGHT_DESCR,WEATH_COND_DESCR,ROAD_SURF_COND_DESCR,STREET_NUMB,X,Y,LAT,LON,AGE_DRVR_YNGST,AGE_DRVR_OLDEST,CNTY_NAME,CRASH_SEVERITY_DESCR
4491306,STOUGHTON,12/13/2017,3:26 PM,03:00PM to 03:59PM,Rear-end,Daylight,Clear,Dry,1044,235497.1166,873269.0176,42.10903326,-71.07080502,25-34,55-64,NORFOLK,Non-fatal injury
4418248,WEYMOUTH,8/10/2017,6:47 PM,06:00PM to 06:59PM,Angle,Daylight,Clear,Dry,,246496.473,878314.3032,42.1538805,-70.93741121,18-20,45-54,NORFOLK,Fatal injury
4416557,HOLDEN,8/31/2017,1:10 PM,01:00PM to 01:59PM,Single vehicle crash,Daylight,Clear,Dry,480,172700.8553,900776.7702,42.35701467,-71.83136604,45-54,45-54,WORCESTER,Property damage only 
4404029,DENNIS,6/2/2017,10:17 AM,10:00AM to 10:59AM,Rear-end,Daylight,Clear,Dry,,312366.719,827024.1876,41.68547073,-70.15031793,35-44,65-74,BARNSTABLE,Property damage only 
4336035,LENOX,3/10/2017,8:19 AM,08:00AM to 08:59AM,Single vehicle crash,Daylight,"Snow/Sleet, hail (freezing rain or drizzle)",Ice,,52617.62992,898564.8884,42.323668,-73.28816937,35-44,35-44,BERKSHIRE,Non-fatal injury
4427723,READING,9/22/2017,6:32 AM,06:00AM to 06:59AM,Angle,Dawn,Cloudy/Cloudy,Dry,,233394.9373,922047.6874,42.54826937,-71.09340856,45-54,45-54,MIDDLESEX,Property damage only 
4315883,FALL RIVER,1/18/2017,5:16 PM,05:00PM to 05:59PM,Rear-end,Dark - lighted roadway,Clear,Dry,,229397.4533,827675.3123,41.69878856,-71.1468418,25-34,35-44,BRISTOL,Property damage only 
4462886,SPRINGFIELD,11/29/2017,5:36 PM,05:00PM to 05:59PM,Angle,Dark - lighted roadway,Clear,Dry,,116795.8639,879332.2242,42.16000221,-72.50684844,25-34,45-54,HAMPDEN,Property damage only 
4414491,GRANBY,8/23/2017,9:41 AM,09:00AM to 09:59AM,Single vehicle crash,Daylight,Clear,Dry,20,117977.0527,886671.5481,42.22620495,-72.49359311,45-54,45-54,HAMPSHIRE,Property damage only 
4381180,BROOKLINE,6/14/2017,7:15 AM,07:00AM to 07:59AM,Head-on,Daylight,Clear,Dry,282,229246.1216,895393.2004,42.30847329,-71.14527256,45-54,65-74,NORFOLK,Non-fatal injury
4390859,QUINCY,6/23/2017,11:14 AM,11:00AM to 11:59AM,Rear-end,Daylight,Clear,Dry,206,241098.3084,887522.7908,42.23708764,-71.00207857,21-24,35-44,NORFOLK,Property damage only 
4435881,BARNSTABLE,10/7/2017,12:36 AM,12:00AM to 12:59AM,Single vehicle crash,Dark - lighted roadway,"Cloudy/Fog, smog, smoke",Dry,556,302478.8662,825048.3819,41.66902832,-70.26941151,55-64,55-64,BARNSTABLE,Property damage only 
4372154,WEST TISBURY,6/4/2017,9:45 AM,09:00AM to 09:59AM,Rear-end,Daylight,Clear,Dry,,,,,,16-17,75-84,DUKES,Property damage only 
4460079,WATERTOWN,10/23/2017,4:03 PM,04:00PM to 04:59PM,Rear-to-rear,Daylight,Clear,Dry,110,227314.0009,901864.355,42.36680009,-71.16840059,>84,>84,MIDDLESEX,Property damage only 
4415668,AUBURN,8/7/2017,5:46 PM,05:00PM to 05:59PM,Rear-end,Daylight,Clear/Cloudy,Dry,139,174558.4099,884518.7558,42.2107088,-71.80811238,35-44,45-54,WORCESTER,Property damage only 
4439640,LEOMINSTER,10/13/2017,11:35 AM,11:00AM to 11:59AM,Head-on,Daylight,Clear,Dry,215,180109.9768,918334.6356,42.51530597,-71.74203801,25-34,25-34,WORCESTER,Non-fatal injury
4441709,LYNN,10/18/2017,4:56 PM,04:00PM to 04:59PM,Rear-end,Daylight,Clear/Clear,Dry,,246199.5381,915441.3688,42.48813677,-70.93803874,25-34,25-34,ESSEX,Property damage only 
4422266,NORWELL,8/25/2017,12:25 PM,12:00PM to 12:59PM,Rear-end,Daylight,Clear,Dry,,,,,,18-20,25-34,PLYMOUTH,Property damage only 
4375351,ANDOVER,6/4/2017,3:40 AM,03:00AM to 03:59AM,Single vehicle crash,Dark - roadway not lighted,Clear,Dry,,222450.6613,932827.004,42.64569656,-71.2262318,35-44,35-44,ESSEX,Property damage only 
4541111,WORCESTER,12/4/2017,1:00 PM,01:00PM to 01:59PM,Angle,Daylight,Clear,Dry,651,170866.8027,891917.4273,42.27718366,-71.8531823,21-24,25-34,WORCESTER,Property damage only 
4310477,KINGSTON,1/6/2017,9:15 AM,09:00AM to 09:59AM,Single vehicle crash,Daylight,Cloudy/Snow,Snow,,,,,,25-34,25-34,PLYMOUTH,Property damage only 
4345427,HOLDEN,3/28/2017,9:05 AM,09:00AM to 09:59AM,Rear-end,Daylight,"Cloudy/Fog, smog, smoke",Wet,1221,170003.8763,900140.2911,42.35118095,-71.86406991,21-24,55-64,WORCESTER,Property damage only 
4565751,LAWRENCE,9/29/2017,4:20 PM,04:00PM to 04:59PM,Rear-end,Daylight,Clear/Clear,Dry,50,227148.7056,939475.4026,42.70539154,-71.16862983,35-44,35-44,ESSEX,Property damage only 
4350461,METHUEN,4/7/2017,9:00 PM,09:00PM to 09:59PM,Rear-end,Dark - lighted roadway,Clear/Clear,Dry,,226438.6094,941551.9373,42.72547017,-71.17973241,35-44,35-44,ESSEX,Non-fatal injury
4438598,HOLYOKE,10/11/2017,3:06 PM,03:00PM to 03:59PM,Angle,Daylight,Clear,Dry,,107924.9688,883984.1252,42.20088807,-72.61492022,45-54,45-54,HAMPDEN,Non-fatal injury
4334360,SPRINGFIELD,2/26/2017,11:57 AM,11:00AM to 11:59AM,"Sideswipe, same direction",Daylight,Clear,Dry,,112744.8672,870651.1249,42.08141056,-72.55456584,,,HAMPDEN,Not Reported
4464363,ASHLAND,11/5/2017,5:59 PM,05:00PM to 05:59PM,Angle,Dark - lighted roadway,Clear,Dry,,204706.1549,887947.2668,42.24197072,-71.44298054,21-24,55-64,MIDDLESEX,Property damage only 
4475518,SOUTHBOROUGH,12/12/2017,9:40 AM,09:00AM to 09:59AM,Rear-end,Daylight,Cloudy,Dry,,,,,,35-44,45-54,WORCESTER,Property damage only 
4378167,SUTTON,6/7/2017,5:55 PM,05:00PM to 05:59PM,Rear-end,Daylight,Clear,Dry,,180266.4651,879024.4727,42.16140609,-71.7387948,18-20,55-64,WORCESTER,Non-fatal injury
4452325,SPRINGFIELD,11/2/2017,5:20 PM,05:00PM to 05:59PM,Rear-end,Daylight,Clear,Dry,451,111785.1789,872332.7183,42.09644536,-72.56642136,35-44,35-44,HAMPDEN,Non-fatal injury
4389700,BEVERLY,7/12/2017,4:05 PM,04:00PM to 04:59PM,Angle,Daylight,Clear/Clear,Dry,,250851.2655,921755.4998,42.5446869,-70.88091001,25-34,75-84,ESSEX,Non-fatal injury
4407924,SHREWSBURY,4/28/2017,4:04 PM,04:00PM to 04:59PM,Angle,Daylight,Clear,Dry,,182381.0779,894039.5,42.29664121,-71.71366216,45-54,65-74,WORCESTER,Property damage only 
4456081,BRAINTREE,11/20/2017,5:15 PM,05:00PM to 05:59PM,"Sideswipe, same direction",Dark - lighted roadway,Clear,Dry,325,240931.3526,885793.3397,42.22152143,-71.00422364,55-64,55-64,NORFOLK,Property damage only 
4314553,WALTHAM,1/5/2017,11:39 AM,11:00AM to 11:59AM,Rear-end,Daylight,Cloudy,Dry,11,221871.5468,902730.0626,42.37476793,-71.23443474,35-44,55-64,MIDDLESEX,Property damage only 
4407500,FITCHBURG,8/13/2017,3:01 PM,03:00PM to 03:59PM,Rear-end,Daylight,Clear,Dry,839,175385.0418,930465.5975,42.62437714,-71.8000546,16-17,55-64,WORCESTER,Property damage only 
4391168,BROCKTON,7/13/2017,1:25 PM,01:00PM to 01:59PM,"Sideswipe, same direction",Daylight,Cloudy,Dry,,240956.672,870501.3752,42.0838464,-71.00498366,45-54,45-54,PLYMOUTH,Property damage only 
4328347,ATTLEBORO,2/19/2017,3:46 PM,03:00PM to 03:59PM,"Sideswipe, same direction",Daylight,Clear,Dry,628,211373.7767,851174.2461,41.9108268,-71.36290507,65-74,65-74,BRISTOL,Property damage only 
4338995,NORTH ATTLEBOROUGH,3/18/2017,9:46 PM,09:00PM to 09:59PM,Rear-end,Dark - lighted roadway,Clear/Clear,Dry,,214167.8045,860345.6435,41.99336019,-71.32900644,18-20,21-24,BRISTOL,Property damage only 
4410999,WELLESLEY,8/19/2017,10:42 AM,10:00AM to 10:59AM,Single vehicle crash,Daylight,Clear,Dry,235,216385.8327,895590.1652,42.31062249,-71.30124633,21-24,21-24,NORFOLK,Non-fatal injury
4327771,BROOKLINE,2/14/2017,4:20 PM,04:00PM to 04:59PM,Angle,Dusk,Clear,Dry,,228820.6863,894007.9782,42.29620947,-71.15056791,35-44,65-74,NORFOLK,Non-fatal injury
4410480,GRAFTON,8/15/2017,5:00 PM,05:00PM to 05:59PM,"Sideswipe, same direction",Daylight,Clear,Dry,,181203.931,885865.5134,42.22302377,-71.72767076,35-44,65-74,WORCESTER,Property damage only 
